N_Ep,Env_Steps,Avf_RM,Avg_EPLM
40804.0,640001.0,3.200000047683716,97.30000305175781
40883.0,650001.0,21.0,115.69999694824219
40955.0,660001.0,51.400001525878906,141.60000610351562
41043.0,670001.0,22.399999618530273,113.80000305175781
41115.0,680001.0,8.0,100.30000305175781
41192.0,690001.0,0.699999988079071,93.0
41265.0,700001.0,54.70000076293945,141.3000030517578
41343.0,710001.0,57.400001525878906,145.8000030517578
41417.0,720001.0,28.399999618530273,120.4000015258789
41504.0,730001.0,41.79999923706055,132.0
41585.0,740001.0,43.400001525878906,129.6999969482422
41649.0,750001.0,93.30000305175781,176.0
41737.0,760001.0,-10.0,82.5999984741211
41819.0,770001.0,32.79999923706055,117.9000015258789
41886.0,780001.0,27.0,118.69999694824219
41960.0,790001.0,96.0999984741211,171.60000610351562
42034.0,800001.0,74.30000305175781,146.8000030517578
42113.0,810001.0,25.899999618530273,108.30000305175781
42184.0,820001.0,75.5,157.0
42265.0,830001.0,63.0,134.60000610351562
42344.0,840001.0,34.20000076293945,111.80000305175781
42422.0,850001.0,82.69999694824219,154.60000610351562
42506.0,860001.0,45.70000076293945,118.5
42594.0,870001.0,30.200000762939453,105.4000015258789
42683.0,880001.0,81.30000305175781,147.8000030517578
42763.0,890001.0,64.19999694824219,127.0999984741211
42841.0,900001.0,68.4000015258789,135.8000030517578
42927.0,910001.0,16.5,94.4000015258789
43025.0,920001.0,23.600000381469727,95.80000305175781
43108.0,930001.0,30.399999618530273,97.5
43191.0,940001.0,20.5,90.30000305175781
43271.0,950001.0,34.099998474121094,102.4000015258789
43369.0,960001.0,-4.5,72.19999694824219
43452.0,970001.0,90.30000305175781,143.60000610351562
43541.0,980001.0,101.4000015258789,152.60000610351562
43627.0,990001.0,47.400001525878906,111.80000305175781
43724.0,1000001.0,28.5,96.5
43813.0,1010001.0,58.099998474121094,121.0
43890.0,1020001.0,94.9000015258789,146.10000610351562
43980.0,1030001.0,36.900001525878906,101.0
44072.0,1040001.0,24.100000381469727,90.5999984741211
44151.0,1050001.0,85.0,140.10000610351562
44244.0,1060001.0,91.30000305175781,142.5
44333.0,1070001.0,40.20000076293945,102.5
44422.0,1080001.0,54.20000076293945,114.0999984741211
44510.0,1090001.0,83.80000305175781,139.1999969482422
44597.0,1100001.0,39.099998474121094,103.5
44685.0,1110001.0,34.099998474121094,99.69999694824219
44771.0,1120001.0,76.5999984741211,131.39999389648438
44858.0,1130001.0,82.5999984741211,136.8000030517578
44940.0,1140001.0,50.900001525878906,111.4000015258789
45023.0,1150001.0,65.0,122.19999694824219
45114.0,1160001.0,25.600000381469727,93.5999984741211
45200.0,1170001.0,76.0999984741211,133.60000610351562
45283.0,1180001.0,40.5,105.19999694824219
45366.0,1190001.0,63.900001525878906,119.9000015258789
45460.0,1200001.0,31.200000762939453,95.5999984741211
45543.0,1210001.0,95.19999694824219,143.10000610351562
45620.0,1220001.0,109.4000015258789,157.3000030517578
45700.0,1230001.0,97.80000305175781,146.0
45779.0,1240001.0,102.80000305175781,154.60000610351562
45863.0,1250001.0,62.0,116.80000305175781
45934.0,1260001.0,125.9000015258789,172.60000610351562
46016.0,1270001.0,61.0,119.69999694824219
46101.0,1280001.0,93.80000305175781,141.10000610351562
46183.0,1290001.0,72.0999984741211,127.19999694824219
46267.0,1300001.0,63.599998474121094,119.30000305175781
46356.0,1310001.0,7.699999809265137,79.30000305175781
46441.0,1320001.0,22.100000381469727,89.80000305175781
46525.0,1330001.0,64.30000305175781,121.80000305175781
46609.0,1340001.0,78.69999694824219,130.5
46693.0,1350001.0,40.5,102.5
46771.0,1360001.0,21.899999618530273,91.0999984741211
46847.0,1370001.0,63.29999923706055,119.0
46924.0,1380001.0,88.4000015258789,139.3000030517578
47009.0,1390001.0,40.29999923706055,103.5
